Number,RTT_TIMESTAMP,RTT_RESULT,IMU_TIMESTAMP,Accx,Accy,Accz,Gyrox,Gyroy,Gyroz,Magx,Magy,Magz,Azimuth,Pitch,Roll,Points,
563,6342907021698,"[b0:e4:d5:39:26:89, 27542, 1138, -86, 14:22:3b:16:5a:bd, 6248, 153, -57, cc:f4:11:8b:29:4d, 12781, 58, -70, b0:e4:d5:96:3b:95, 18465, 192, -70, b0:e4:d5:01:26:f5, 10349, 50, -70, 14:22:3b:2a:86:f5, 29890, 194, -67, f8:1a:2b:06:3c:0b, 9068, 138, -66]",6342905130239,-0.65084773,-0.12622139,10.091131,0.006566608,0.0697893,-0.024892027,-21.875,-3.8625,30.975,1.7434316,0.0124815665,0.064407796,0,
564,6342907021698,"[b0:e4:d5:39:26:89, 27542, 1138, -86, 14:22:3b:16:5a:bd, 6248, 153, -57, cc:f4:11:8b:29:4d, 12781, 58, -70, b0:e4:d5:96:3b:95, 18465, 192, -70, b0:e4:d5:01:26:f5, 10349, 50, -70, 14:22:3b:2a:86:f5, 29890, 194, -67, f8:1a:2b:06:3c:0b, 9068, 138, -66]",6342905130239,-0.35413775,-0.093918286,9.480962,-0.0132859275,0.092543356,-0.02519745,-21.7875,-3.2250001,31.8125,1.7108561,0.009898761,0.037335154,0,
565,6343232031574,"[14:22:3b:16:5a:bd, 6336, 134, -55, cc:f4:11:8b:29:4d, 12019, 95, -76, b0:e4:d5:96:3b:95, 17371, 151, -64, b0:e4:d5:01:26:f5, 12927, 209, -67, 14:22:3b:2a:86:f5, 30066, 106, -65, f8:1a:2b:06:3c:0b, 8688, 56, -66]",6343230800168,-0.49052864,-1.6007984,8.484351,0.05833591,-0.2005106,-0.08689302,-21.300001,-3.0375001,30.975,1.4196377,0.18618056,0.057751402,0,
566,6343542329678,"[b0:e4:d5:39:26:89, 28513, 540, -93, 14:22:3b:16:5a:bd, 6189, 129, -55, cc:f4:11:8b:29:4d, 12527, 1134, -77, b0:e4:d5:96:3b:95, 18230, 95, -73, b0:e4:d5:01:26:f5, 15261, 110, -64, 14:22:3b:2a:86:f5, 30027, 123, -69, f8:1a:2b:06:3c:0b, 8922, 178, -59]",6343541145824,0.47856453,2.096711,10.060024,-0.115908265,0.051769305,-0.12598725,-22.0625,-2.9875,31.8375,1.9429504,-0.20525287,-0.047535077,0,
567,6343542329678,"[b0:e4:d5:39:26:89, 28513, 540, -93, 14:22:3b:16:5a:bd, 6189, 129, -55, cc:f4:11:8b:29:4d, 12527, 1134, -77, b0:e4:d5:96:3b:95, 18230, 95, -73, b0:e4:d5:01:26:f5, 15261, 110, -64, 14:22:3b:2a:86:f5, 30027, 123, -69, f8:1a:2b:06:3c:0b, 8922, 178, -59]",6343541145824,-0.5479564,-1.1647065,10.119845,-0.0361927,-0.020921519,0.010842538,-21.45,-4.225,31.1,1.5971073,0.11442101,0.05409389,0,
568,6343847457208,"[b0:e4:d5:39:26:89, 25728, 315, -91, 14:22:3b:16:5a:bd, 6628, 194, -55, b0:e4:d5:91:ba:5d, 42048, 272, -82, cc:f4:11:8b:29:4d, 14168, 55, -75, b0:e4:d5:96:3b:95, 18113, 104, -66, b0:e4:d5:01:26:f5, 14089, 66, -65, 14:22:3b:2a:86:f5, 29685, 117, -66, f8:1a:2b:06:3c:0b, 8893, 86, -63]",6343845936323,-0.56769717,0.8997013,9.312267,-0.042759307,0.049936764,0.030542362,-21.5,-3.45,30.800001,1.8917197,-0.09613831,0.060886938,0,
569,6344154660781,"[b0:e4:d5:39:26:89, 23541, 1258, -93, 14:22:3b:16:5a:bd, 6394, 169, -57, b0:e4:d5:91:ba:5d, 36589, 1738, -89, cc:f4:11:8b:29:4d, 12656, 619, -74, b0:e4:d5:96:3b:95, 18113, 0, -66, b0:e4:d5:01:26:f5, 14793, 67, -65, 14:22:3b:2a:86:f5, 30007, 131, -66, f8:1a:2b:06:3c:0b, 8600, 63, -60]",6344153307968,-0.31944183,-1.4835501,9.964312,0.16645588,-0.11071607,-0.10048437,-21.125,-4.1875,31.425001,1.5419201,0.14772584,0.03204762,0,
570,6344154660781,"[b0:e4:d5:39:26:89, 23541, 1258, -93, 14:22:3b:16:5a:bd, 6394, 169, -57, b0:e4:d5:91:ba:5d, 36589, 1738, -89, cc:f4:11:8b:29:4d, 12656, 619, -74, b0:e4:d5:96:3b:95, 18113, 0, -66, b0:e4:d5:01:26:f5, 14793, 67, -65, 14:22:3b:2a:86:f5, 30007, 131, -66, f8:1a:2b:06:3c:0b, 8600, 63, -60]",6344153307968,0.1058824,0.5802595,10.523634,-0.08124269,-0.00167983,0.028404398,-21.125,-4.3125,31.425001,1.8447115,-0.05508014,-0.010061052,0,
571,6344451572060,"[14:22:3b:16:5a:bd, 6306, 156, -55, b0:e4:d5:91:ba:5d, 37951, 1061, -89, cc:f4:11:8b:29:4d, 13132, 79, -75, b0:e4:d5:96:3b:95, 18347, 95, -66, b0:e4:d5:01:26:f5, 15095, 326, -63, 14:22:3b:2a:86:f5, 29744, 108, -69, f8:1a:2b:06:3c:0b, 8424, 143, -64]",6344448567320,0.18723837,0.5192425,9.5048895,-0.13805148,-0.009009997,0.014049487,-21.15,-4.4500003,30.75,1.8441001,-0.054564178,-0.019696616,0,
572,6344754708340,"[b0:e4:d5:39:26:89, 23658, 472, -91, 14:22:3b:16:5a:bd, 5886, 150, -56, cc:f4:11:8b:29:4d, 13972, 110, -78, b0:e4:d5:96:3b:95, 17761, 95, -68, b0:e4:d5:01:26:f5, 14392, 107, -70, 14:22:3b:2a:86:f5, 29949, 95, -64, f8:1a:2b:06:3c:0b, 8160, 154, -63]",6344753432767,-0.76689965,-0.2973082,10.533804,-0.018936265,-0.11957335,0.0865876,-21.225,-4.975,30.9,1.7822464,0.028142266,0.07267546,0,
573,6344754708340,"[b0:e4:d5:39:26:89, 23658, 472, -91, 14:22:3b:16:5a:bd, 5886, 150, -56, cc:f4:11:8b:29:4d, 13972, 110, -78, b0:e4:d5:96:3b:95, 17761, 95, -68, b0:e4:d5:01:26:f5, 14392, 107, -70, 14:22:3b:2a:86:f5, 29949, 95, -64, f8:1a:2b:06:3c:0b, 8160, 154, -63]",6344753432767,-0.36670008,-0.6562316,9.618548,7.635591E-4,-0.0051922016,0.023823043,-21.0,-4.4500003,31.9125,1.682436,0.06807078,0.038105812,0,
574,6345062111600,"[b0:e4:d5:39:26:89, 23150, 204, -87, 14:22:3b:16:5a:bd, 6160, 95, -57, cc:f4:11:8b:29:4d, 14207, 55, -74, b0:e4:d5:96:3b:95, 18845, 63, -66, b0:e4:d5:01:26:f5, 14011, 252, -67, 14:22:3b:2a:86:f5, 29568, 191, -68, f8:1a:2b:06:3c:0b, 8277, 156, -62]",6345059371027,-0.23509483,-0.50787663,10.621141,-0.02443389,-0.09483404,0.0413849,-21.3375,-4.725,31.737501,1.7238287,0.047769442,0.022130996,0,
575,6345369192881,"[b0:e4:d5:39:26:89, 23541, 597, -93, 14:22:3b:16:5a:bd, 6238, 115, -57, cc:f4:11:8b:29:4d, 15144, 146, -78, b0:e4:d5:96:3b:95, 17820, 145, -67, b0:e4:d5:01:26:f5, 14089, 246, -65, 14:22:3b:2a:86:f5, 29597, 202, -66, f8:1a:2b:06:3c:0b, 8599, 73, -62]",6345367903245,-0.7477571,-0.6873383,8.434102,0.05467083,0.031611346,-0.0045813546,-21.275,-4.2000003,31.5875,1.6515037,0.08099911,0.08842756,0,
576,6345369192881,"[b0:e4:d5:39:26:89, 23541, 597, -93, 14:22:3b:16:5a:bd, 6238, 115, -57, cc:f4:11:8b:29:4d, 15144, 146, -78, b0:e4:d5:96:3b:95, 17820, 145, -67, b0:e4:d5:01:26:f5, 14089, 246, -65, 14:22:3b:2a:86:f5, 29597, 202, -66, f8:1a:2b:06:3c:0b, 8599, 73, -62]",6345367903245,-0.82013994,0.16510476,9.399008,-0.023059484,-0.04734066,0.1111742,-21.300001,-4.3375,31.5875,1.8310727,-0.017497908,0.08703769,0,
577,6345668489317,"[b0:e4:d5:39:26:89, 23014, 143, -90, 14:22:3b:16:5a:bd, 6082, 148, -53, cc:f4:11:8b:29:4d, 12927, 67, -77, b0:e4:d5:96:3b:95, 19129, 146, -69, b0:e4:d5:01:26:f5, 14275, 452, -72, 14:22:3b:2a:86:f5, 29627, 136, -67, f8:1a:2b:06:3c:0b, 8775, 125, -59]",6345667144004,-0.1058824,0.048454657,10.1084795,0.03130592,-0.07284354,-0.02107423,-21.45,-4.35,31.275,1.780755,-0.0047931666,0.010474229,0,
578,6345975696066,"[b0:e4:d5:39:26:89, 22057, 638, -87, 14:22:3b:16:5a:bd, 5769, 112, -54, cc:f4:11:8b:29:4d, 14304, 175, -76, b0:e4:d5:96:3b:95, 17410, 103, -70, b0:e4:d5:01:26:f5, 15242, 848, -77, 14:22:3b:2a:86:f5, 29978, 127, -66, f8:1a:2b:06:3c:0b, 8805, 97, -60]",6345974346170,-0.1471586,-0.46899325,8.467003,-0.020921519,-0.011606098,-0.012064233,-20.2875,-3.8500001,30.9,1.6775508,0.05532582,0.017378496,0,
579,6345975696066,"[b0:e4:d5:39:26:89, 22057, 638, -87, 14:22:3b:16:5a:bd, 5769, 112, -54, cc:f4:11:8b:29:4d, 14304, 175, -76, b0:e4:d5:96:3b:95, 17410, 103, -70, b0:e4:d5:01:26:f5, 15242, 848, -77, 14:22:3b:2a:86:f5, 29978, 127, -66, f8:1a:2b:06:3c:0b, 8805, 97, -60]",6345974346170,0.24945176,-1.1288141,10.644471,-0.010231691,0.02107423,0.013896775,-21.2625,-4.0750003,30.275,1.6123768,0.105623335,-0.023430578,0,
