M1 Time Stamp (ms),AP1 True Distance (m),AP1 RTT Distance (m),AP1 RTT std (m),AP1 RSS (dBm),AP2 True Distance (m),AP2 RTT Distance (m),AP2 RTT std (m),AP2 RSS (dBm),AP3 True Distance (m),AP3 RTT Distance (m),AP3 RTT std (m),AP3 RSS (dBm),AP4 True Distance (m),AP4 RTT Distance (m),AP4 RTT std (m),AP4 RSS (dBm),AP5 True Distance (m),AP5 RTT Distance (m),AP5 RTT std (m),AP5 RSS (dBm),AP6 True Distance (m),AP6 RTT Distance (m),AP6 RTT std (m),AP6 RSS (dBm),AP7 True Distance (m),AP7 RTT Distance (m),AP7 RTT std (m),AP7 RSS (dBm),AP8 True Distance (m),AP8 RTT Distance (m),AP8 RTT std (m),AP8 RSS (dBm),AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Azimuth,Pitch,Roll,M1 Ground Truth_x,M1 Ground Truth_y,user,circle
17482.46461,0,0,0,0,20.73583795,22.66948665,0.075,-55,0,0,0,0,0,0,0,0,3.123294998,5.664977405,0.135,-57,6.769254634,8.883940792,0.105,-61,1.962719318,3.723580132,0.075,-41,11.02787277,12.76721305,0.105,-50,0.27876383,0.33738798,9.352945,0.002138028,0.058643065,0.12095132,-173.9964,-74.5786,143.9234,1.9905382,-0.03604129,-0.029796103,21.22599784,20.159,2,4
18035.64682,0,0,0,0,20.7020506,22.77151135,0.045,-54,0,0,0,0,0,0,0,0,3.089853019,5.292433845,0.135,-56,6.750005785,10.98863049,0.24,-60,1.991180185,3.321578089,0.075,-41,10.99446752,12.70016142,0.12,-50,-0.72323066,-0.017347964,10.054641,-0.0571159,-0.035430185,0.01282817,-174.8748,-74.3956,143.6794,1.9950433,0.001720921,0.071806364,21.19220259,20.159,2,4
18608.37684,0,0,0,0,20.66826327,22.55645903,0.06,-54,0,0,0,0,0,0,0,0,3.0564188,5.68103943,0.075,-53,6.730871568,10.69131465,0.03,-60,2.019805488,2.321771953,0.195,-45,10.96106466,12.60708884,0.045,-50,1.125823,1.5786648,9.480962,0.02367103,0.06765333,-0.055283304,-174.3746,-74.969,143.5208,2.0294619,-0.16386464,-0.1181922,21.15840733,20.159,2,4
19151.64511,0,0,0,0,20.63447596,22.61547349,0.075,-54,0,0,0,0,0,0,0,0,3.022992611,5.500320809,0.075,-53,6.711852968,12.68915289,0.105,-61,2.048588326,2.364717531,0.15,-43,10.9276642,12.43495175,0.09,-50,-0.25962126,1.4093726,9.512068,-0.027641652,-0.03436117,-0.08017606,-175.68,-74.8592,144.46019,2.0802824,-0.14704262,0.027287109,21.12461207,20.159,2,4
19699.52304,0,0,0,0,20.60068868,22.654483,0.06,-53,0,0,0,0,0,0,0,0,2.989574721,5.17088242,0.105,-54,6.692950971,12.82225503,0.375,-61,2.077522151,2.894126639,0.045,-41,10.89426618,12.20376155,0.075,-51,0.14297116,-0.19082761,9.745967,-0.093004234,-0.05390886,0.006566802,-174.96019,-75.3594,143.3012,1.9599067,0.019575555,-0.014668725,21.09081681,20.159,2,4
20167.77345,21.10087307,27.10038791,0.285,-64,20.57816384,22.56046001,0.12,-54,0,0,0,0,0,0,0,0,2.96730088,5.261294993,0.075,-51,6.680414911,12.68915289,0.315,-64,2.096892162,3.282133452,0.105,-37,10.8720022,12.39191688,0.09,-50,1.4715859,2.0075781,9.47797,-0.000305,0.12293663,-0.0355829,-175.619,-74.6152,142.5448,2.0289626,-0.2063287,-0.15403393,21.06828664,20.159,2,4
20663.09482,21.07890681,27.46344887,0.24,-65,20.55563902,22.58746664,0.03,-54,0,0,0,0,0,0,0,0,2.945030938,5.617793161,0.105,-49,6.667931409,11.12476948,0.03,-61,2.11632474,3.57015756,0.075,-37,10.84973932,12.505008,0.09,-50,-0.058624156,0.7423732,9.082557,0.034208454,-0.013286319,-0.060322944,-175.8386,-75.0788,143.34999,2.0305226,-0.08155316,0.006454498,21.04575647,20.159,2,4
21111.7162,0,0,0,0,20.5331142,22.70449515,0.03,-54,0,0,0,0,0,0,0,0,2.922764976,5.790452832,0.06,-47,6.655500755,10.27283919,0.03,-59,2.135818186,3.369100177,0.09,-39,10.82747753,12.48599279,0.09,-50,0.16331014,0.35413775,9.847662,-0.07498371,-0.009621128,-0.065515295,-176.1192,-74.9934,142.8376,1.9920808,-0.035941176,-0.016582128,21.02322629,20.159,2,4
21631.04953,0,0,0,0,20.49932699,22.57246296,0.03,-55,0,0,0,0,0,0,0,0,2.889373722,5.89985093,0.09,-46,6.636954532,9.49784823,0.15,-66,2.165168862,3.905120869,0.105,-45,10.79408696,12.4970016,0.09,-49,-0.68135625,0.83030945,10.042677,0.11759156,-0.20708331,-0.09987647,-177.10739,-75.1886,142.9962,2.0540645,-0.08230213,0.067742266,20.98943103,20.159,2,4
22173.86996,0,0,0,0,20.47680221,22.40042044,0.06,-54,0,0,0,0,0,0,0,0,2.867118149,6.182815621,0.06,-46,6.624657321,11.51615079,0.18,-63,2.184807344,6.339312344,0.03,-44,10.77182797,12.27882409,0.105,-49,0.7363912,0.5240282,9.182457,-0.006719518,0.012522738,-0.017562376,-177.022,-75.6522,143.3134,1.9860097,-0.056824535,-0.080024175,20.96690086,20.159,2,4
