real_dis,RTT,RTT std,RSS,AP_idx,class_idx,AP_x,AP_y,circle,user,true_x,true_y
4.131205343,5.743276504,0.045,-45,2,17,0.459,4.992,2,1,0.66632,0.866
23.18485905,23.91977477,0.015,-62,3,17,23.835,0,2,1,0.66632,0.866
14.30456853,20.75497822,0.09,-61,4,17,13.154,7.843,2,1,0.66632,0.866
1.092674857,4.676345689,0.09,-41,6,17,0,0,2,1,0.66632,0.866
10.88486816,11.76237769,0.09,-58,1,18,11.55,0,2,1,0.699636,0.866
4.133011213,5.943003954,0.045,-46,2,18,0.459,4.992,2,1,0.699636,0.866
23.15156633,23.73673448,0.12,-60,3,18,23.835,0,2,1,0.699636,0.866
14.27549339,21.00104876,0.12,-60,4,18,13.154,7.843,2,1,0.699636,0.866
1.113304331,3.471174009,0.135,-44,6,18,0,0,2,1,0.699636,0.866
10.8516581,11.90650616,0.105,-57,1,19,11.55,0,2,1,0.732952,0.866
4.135084727,6.080477037,0.06,-46,2,19,0.459,4.992,2,1,0.732952,0.866
23.11827368,23.85376031,0.03,-61,3,19,23.835,0,2,1,0.732952,0.866
14.24643683,19.14947352,0.18,-61,4,19,13.154,7.843,2,1,0.732952,0.866
1.134537189,1.179390097,0.09,-42,6,19,0,0,2,1,0.732952,0.866
4.138695936,6.280127387,0.075,-51,2,20,0.459,4.992,2,1,0.782926,0.866
23.06833483,24.09581294,0,-59,3,20,23.835,0,2,1,0.782926,0.866
14.20288706,16.15926635,0.36,-65,4,20,13.154,7.843,2,1,0.782926,0.866
1.167445554,0,0,0,6,20,0,0,2,1,0.782926,0.866
4.142906855,5.40592647,0.075,-50,2,21,0.459,4.992,2,1,0.8329,0.866
23.01839613,24.15082475,0.045,-59,3,21,23.835,0,2,1,0.8329,0.866
14.15937973,17.39881709,0.24,-63,4,21,13.154,7.843,2,1,0.8329,0.866
1.201531693,1.835103267,0.075,-37,6,21,0,0,2,1,0.8329,0.866
10.7188244,11.85245835,0.045,-58,1,22,11.55,0,2,1,0.866216,0.866
4.146046414,6.209903381,0.03,-50,2,22,0.459,4.992,2,1,0.866216,0.866
14.1303986,15.50694119,0.15,-63,4,22,13.154,7.843,2,1,0.866216,0.866
1.22486169,1.623761374,0.075,-35,6,22,0,0,2,1,0.866216,0.866
10.68561765,11.86046546,0.045,-56,1,23,11.55,0,2,1,0.899532,0.866
4.149451101,7.361038242,0.225,-54,2,23,0.459,4.992,2,1,0.899532,0.866
22.95181144,23.71673004,0.045,-58,3,23,23.835,0,2,1,0.899532,0.866
14.10143663,15.78108111,0.15,-64,4,23,13.154,7.843,2,1,0.899532,0.866
1.248644793,2.18143164,0.06,-33,6,23,0,0,2,1,0.899532,0.866
10.61920621,11.70732779,0.06,-57,1,24,11.55,0,2,1,0.966164,0.866
4.157053202,4.915636378,0.03,-53,2,24,0.459,4.992,2,1,0.966164,0.866
22.88522703,23.67372047,0.03,-58,3,24,23.835,0,2,1,0.966164,0.866
14.04357061,18.27015952,0.135,-64,4,24,13.154,7.843,2,1,0.966164,0.866
25.36621915,30.45589598,0.12,-67,5,24,25.354,7.843,2,1,0.966164,0.866
1.297470183,2.145509031,0.06,-34,6,24,0,0,2,1,0.966164,0.866
