real_dis,RTT,RTT std,RSS,AP_idx,class_idx,AP_x,AP_y,circle,user,true_x,true_y
5.494297756,6.140480437,0,-62,2,50,16.495,16.15,5,1,21.12256621,11.15
12.67731656,12.44936067,0.161,-64,5,50,15.09,0,5,1,21.12256621,11.15
10.68175105,14.70850556,1.471,-72,1,51,30.84,6.75,5,1,21.1065625,11.15
5.487683021,6.317024299,0.294,-63,2,51,16.495,16.15,5,1,21.1065625,11.15
12.66970893,12.20416716,0.339,-68,5,51,15.09,0,5,1,21.1065625,11.15
10.710925,13.24324472,0.313,-73,1,52,30.84,6.75,5,1,21.07455508,11.15
5.474569926,6.081291064,0.279,-68,2,52,16.495,16.15,5,1,21.07455508,11.15
12.65454067,11.51057518,0.268,-69,5,52,15.09,0,5,1,21.07455508,11.15
10.72551804,14.6204907,1.609,-73,1,53,30.84,6.75,5,1,21.05855138,11.15
5.468071845,6.29696403,0.15,-69,2,53,16.495,16.15,5,1,21.05855138,11.15
12.6469801,12.24419928,0.082,-69,5,53,15.09,0,5,1,21.05855138,11.15
10.7839302,13.24324472,0.245,-76,1,54,30.84,6.75,5,1,20.99453655,11.15
5.442472542,4.688464141,1.715,-65,2,54,16.495,16.15,5,1,20.99453655,11.15
12.61689549,12.41933738,0.215,-68,5,54,15.09,0,5,1,20.99453655,11.15
10.85703425,13.59430993,0.144,-74,1,55,30.84,6.75,5,1,20.91451801,11.15
5.411368107,6.845485301,0,-77,2,55,16.495,16.15,5,1,20.91451801,11.15
12.57964666,12.33226922,0.364,-67,5,55,15.09,0,5,1,20.91451801,11.15
10.87166675,14.00538406,0.232,-71,1,56,30.84,6.75,5,1,20.8985143,11.15
5.405267892,6.728180735,0,-73,2,56,16.495,16.15,5,1,20.8985143,11.15
12.57224476,12.09708018,0.27,-67,5,56,15.09,0,5,1,20.8985143,11.15
10.9009433,13.88736302,0.519,-71,1,57,30.84,6.75,5,1,20.86650689,11.15
5.393189232,5.963904426,1.198,-66,2,57,16.495,16.15,5,1,20.86650689,11.15
12.55748907,11.83285887,0.318,-69,5,57,15.09,0,5,1,20.86650689,11.15
10.91558733,11.14019384,0.165,-73,1,58,30.84,6.75,5,1,20.85050318,11.15
5.387211059,5.787293322,0,-71,2,58,16.495,16.15,5,1,20.85050318,11.15
12.55013533,12.15612833,0.383,-67,5,58,15.09,0,5,1,20.85050318,11.15
10.95954222,13.7993472,0.233,-78,1,59,30.84,6.75,5,1,20.80249206,11.15
5.369522804,6.081291064,0.175,-76,2,59,16.495,16.15,5,1,20.80249206,11.15
12.52817088,12.67353104,0.154,-68,5,59,15.09,0,5,1,20.80249206,11.15
10.98886434,12.24704939,2.13,-77,1,60,30.84,6.75,5,1,20.77048464,11.15
5.357937206,6.610865375,0,-73,2,60,16.495,16.15,5,1,20.77048464,11.15
12.51360882,13.06481443,0.198,-66,5,60,15.09,0,5,1,20.77048464,11.15
11.01820141,13.59430993,0.554,-75,1,61,30.84,6.75,5,1,20.73847722,11.15
5.346518119,6.375196938,0.165,-68,2,61,16.495,16.15,5,1,20.73847722,11.15
12.49911177,12.63450181,0.065,-66,5,61,15.09,0,5,1,20.73847722,11.15
11.03287552,13.682326,0.05,-74,1,62,30.84,6.75,5,1,20.72247352,11.15
5.340871353,6.023101278,0,-65,2,62,16.495,16.15,5,1,20.72247352,11.15
12.49188768,12.90870342,0.055,-70,5,62,15.09,0,5,1,20.72247352,11.15
11.06223478,13.24324472,0.45,-74,1,63,30.84,6.75,5,1,20.6904661,11.15
5.329704038,10.95404606,0,-73,2,63,16.495,16.15,5,1,20.6904661,11.15
12.47748855,12.86967525,0.474,-71,5,63,15.09,0,5,1,20.6904661,11.15
11.07691992,14.00538406,0.291,-75,1,64,30.84,6.75,5,1,20.67446239,11.15
5.324183754,6.081291064,0.294,-67,2,64,16.495,16.15,5,1,20.67446239,11.15
12.47031356,12.06805635,0.213,-66,5,64,15.09,0,5,1,20.67446239,11.15
11.10630112,13.74133672,0.209,-76,1,65,30.84,6.75,5,1,20.64245498,11.15
5.313270594,10.19122706,3.105,-69,2,65,16.495,16.15,5,1,20.64245498,11.15
12.45601286,12.15612833,0.724,-69,5,65,15.09,0,5,1,20.64245498,11.15
11.13569679,13.71133128,0.151,-77,1,66,30.84,6.75,5,1,20.61044756,11.15
5.30252818,5.43495621,0,-68,2,66,16.495,16.15,5,1,20.61044756,11.15
12.44177806,12.56645041,0.293,-66,5,66,15.09,0,5,1,20.61044756,11.15
11.15040002,14.0343892,0.247,-72,1,67,30.84,6.75,5,1,20.59444386,11.15
5.297221329,6.29696403,0.986,-72,2,67,16.495,16.15,5,1,20.59444386,11.15
12.43468545,12.8306469,0.727,-72,5,67,15.09,0,5,1,20.59444386,11.15
11.1798172,14.18041491,0.208,-72,1,68,30.84,6.75,5,1,20.56243644,11.15
5.286736983,9.545431577,0.754,-67,2,68,16.495,16.15,5,1,20.56243644,11.15
12.42054993,12.94773142,0.108,-70,5,68,15.09,0,5,1,20.56243644,11.15
11.20924858,13.53629928,0.625,-72,1,69,30.84,6.75,5,1,20.53042903,11.15
5.276425968,6.375196938,0.314,-69,2,69,16.495,16.15,5,1,20.53042903,11.15
12.40648089,12.39031477,0.628,-67,5,69,15.09,0,5,1,20.53042903,11.15
11.22396955,14.0343892,0.32,-71,1,70,30.84,6.75,5,1,20.51442532,11.15
5.271335779,5.770232318,0.136,-65,2,70,16.495,16.15,5,1,20.51442532,11.15
12.39947136,12.79161839,0.199,-67,5,70,15.09,0,5,1,20.51442532,11.15
11.25342201,13.82935261,0.302,-77,1,71,30.84,6.75,5,1,20.4824179,11.15
5.261286667,5.669866048,0,-69,2,71,16.495,16.15,5,1,20.4824179,11.15
12.38550245,13.71024657,0.058,-72,5,71,15.09,0,5,1,20.4824179,11.15
11.26815346,13.77034197,0.219,-76,1,72,30.84,6.75,5,1,20.46641419,11.15
5.256327995,6.081291064,0.449,-65,2,72,16.495,16.15,5,1,20.46641419,11.15
12.37854311,12.51741303,0.15,-68,5,72,15.09,0,5,1,20.46641419,11.15
11.29762675,14.06339433,0.151,-76,1,73,30.84,6.75,5,1,20.43440678,11.15
5.246543044,6.328057285,0.303,-66,2,73,16.495,16.15,5,1,20.43440678,11.15
12.36467484,12.27322244,0.16,-72,5,73,15.09,0,5,1,20.43440678,11.15
11.31236856,14.06339433,0.315,-77,1,74,30.84,6.75,5,1,20.41840307,11.15
5.241717011,6.375196938,0.21,-65,2,74,16.495,16.15,5,1,20.41840307,11.15
12.35776595,12.67353104,0.121,-72,5,74,15.09,0,5,1,20.41840307,11.15
11.34186245,13.809349,0.074,-75,1,75,30.84,6.75,5,1,20.38639566,11.15
5.232198445,6.140480437,0,-72,2,75,16.495,16.15,5,1,20.38639566,11.15
12.34399882,12.67353104,0.121,-72,5,75,15.09,0,5,1,20.38639566,11.15
11.38612873,13.85835782,0.237,-74,1,76,30.84,6.75,5,1,20.33838453,11.15
5.218256161,8.090174596,1.438,-68,2,76,16.495,16.15,5,1,20.33838453,11.15
12.32347517,12.51741303,0.055,-67,5,76,15.09,0,5,1,20.33838453,11.15
11.40089089,13.7993472,0.229,-75,1,77,30.84,6.75,5,1,20.32238083,11.15
5.213698697,9.428275611,0.234,-72,2,77,16.495,16.15,5,1,20.32238083,11.15
12.31666794,13.06481443,1.357,-66,5,77,15.09,0,5,1,20.32238083,11.15
11.45997287,14.18041491,0.507,-75,1,78,30.84,6.75,5,1,20.258366,11.15
5.195921808,5.729083696,0.058,-73,2,78,16.495,16.15,5,1,20.258366,11.15
12.28960972,12.67353104,0.276,-70,5,78,15.09,0,5,1,20.258366,11.15
11.47475163,13.94637356,0.459,-73,1,79,30.84,6.75,5,1,20.24236229,11.15
5.19159141,6.052196626,0.152,-67,2,79,16.495,16.15,5,1,20.24236229,11.15
12.28288798,14.50072346,0.097,-71,5,79,15.09,0,5,1,20.24236229,11.15
11.50431899,14.12240473,0.185,-73,1,80,30.84,6.75,5,1,20.21035487,11.15
5.183068003,6.052196626,0.103,-68,2,80,16.495,16.15,5,1,20.21035487,11.15
12.26949608,12.30224549,0.273,-71,5,80,15.09,0,5,1,20.21035487,11.15
11.51910757,14.47346566,0.273,-73,1,81,30.84,6.75,5,1,20.19435117,11.15
5.178875222,6.425343259,0.272,-67,2,81,16.495,16.15,5,1,20.19435117,11.15
12.26282597,12.859668,0.138,-72,5,81,15.09,0,5,1,20.19435117,11.15
11.54869443,12.89117747,1.486,-75,1,82,30.84,6.75,5,1,20.16234375,11.15
5.170628062,14.47170688,0,-74,2,82,16.495,16.15,5,1,20.16234375,11.15
12.24953759,12.24419928,0.165,-70,5,82,15.09,0,5,1,20.16234375,11.15
11.60790668,13.97537873,0.135,-74,1,83,30.84,6.75,5,1,20.09832892,11.15
5.154690425,6.023101278,0.03,-70,2,83,16.495,16.15,5,1,20.09832892,11.15
12.22316892,12.86967525,0.154,-73,5,83,15.09,0,5,1,20.09832892,11.15
11.63753188,14.91353979,0.302,-72,1,84,30.84,6.75,5,1,20.0663215,11.15
5.147001672,6.140480437,0.119,-74,2,84,16.495,16.15,5,1,20.0663215,11.15
12.2100891,11.69674096,0.774,-72,5,84,15.09,0,5,1,20.0663215,11.15
11.68199325,12.59812003,1.966,-73,1,85,30.84,6.75,5,1,20.01831038,11.15
5.135820991,5.787293322,0.029,-69,2,85,16.495,16.15,5,1,20.01831038,11.15
12.19060061,13.72925868,0.24,-74,5,85,15.09,0,5,1,20.01831038,11.15
11.69681994,14.15140983,0.152,-76,1,86,30.84,6.75,5,1,20.00230667,11.15
5.132188494,11.18827516,0,-70,2,86,16.495,16.15,5,1,20.00230667,11.15
12.18413956,12.90870342,0.154,-72,5,86,15.09,0,5,1,20.00230667,11.15
22.9001042,28.69481662,1.318,-72,6,86,0,0,5,1,20.00230667,11.15
11.7264826,13.94637356,0.245,-77,1,87,30.84,6.75,5,1,19.97029926,11.15
5.125065699,10.19122706,1.581,-71,2,87,16.495,16.15,5,1,19.97029926,11.15
12.17127031,12.63450181,0.065,-70,5,87,15.09,0,5,1,19.97029926,11.15
11.75615757,14.21042016,0.184,-75,1,88,30.84,6.75,5,1,19.93829184,11.15
5.118133161,6.609862631,0,-73,2,88,16.495,16.15,5,1,19.93829184,11.15
12.15847169,13.02578692,0.075,-71,5,88,15.09,0,5,1,19.93829184,11.15
11.77099963,14.50347079,0.106,-73,1,89,30.84,6.75,5,1,19.92228814,11.15
5.114738481,5.709010422,0.944,-71,2,89,16.495,16.15,5,1,19.92228814,11.15
12.15209894,12.03803157,0.316,-75,5,89,15.09,0,5,1,19.92228814,11.15
11.80069287,14.29743531,0.324,-76,1,90,30.84,6.75,5,1,19.89028072,11.15
5.108092774,7.482974075,0.993,-69,2,90,16.495,16.15,5,1,19.89028072,11.15
12.1394067,12.30224549,0.888,-76,5,90,15.09,0,5,1,19.89028072,11.15
22.80231934,26.31143774,0.258,-73,6,90,0,0,5,1,19.89028072,11.15
11.81554403,16.64180888,1.39,-75,1,91,30.84,6.75,5,1,19.87427701,11.15
5.104841934,7.667358672,0,-71,2,91,16.495,16.15,5,1,19.87427701,11.15
12.13308726,12.12610391,0.461,-75,5,91,15.09,0,5,1,19.87427701,11.15
11.84525534,14.09239945,0.097,-75,1,92,30.84,6.75,5,1,19.8422696,11.15
5.098484741,7.628278705,0.399,-71,2,92,16.495,16.15,5,1,19.8422696,11.15
12.1205019,12.86967525,0.154,-72,5,92,15.09,0,5,1,19.8422696,11.15
11.86011547,14.32744051,0.32,-76,1,93,30.84,6.75,5,1,19.82626589,11.15
5.095378568,6.75725721,0.099,-70,2,93,16.495,16.15,5,1,19.82626589,11.15
12.11423603,13.15287588,1.813,-73,5,93,15.09,0,5,1,19.82626589,11.15
22.74650125,26.32844069,0.278,-70,6,93,0,0,5,1,19.82626589,11.15
11.88984465,15.73367166,2.062,-75,1,94,30.84,6.75,5,1,19.79425847,11.15
5.089311511,7.785595738,0,-72,2,94,16.495,16.15,5,1,19.79425847,11.15
12.10175805,12.21417521,0.152,-71,5,94,15.09,0,5,1,19.79425847,11.15
11.90471367,11.97864178,2.032,-74,1,95,30.84,6.75,5,1,19.77825477,11.15
5.0863508,5.317471203,1.926,-74,2,95,16.495,16.15,5,1,19.77825477,11.15
12.09554599,12.67353104,0.121,-71,5,95,15.09,0,5,1,19.77825477,11.15
11.93446052,13.59430993,0.743,-75,1,96,30.84,6.75,5,1,19.74624735,11.15
5.080575439,6.845485301,0,-74,2,96,16.495,16.15,5,1,19.74624735,11.15
12.08317588,12.41933738,0.072,-72,5,96,15.09,0,5,1,19.74624735,11.15
11.96421903,14.09239945,0.661,-76,1,97,30.84,6.75,5,1,19.71423994,11.15
12.07087797,11.51057518,0.368,-75,5,97,15.09,0,5,1,19.71423994,11.15
22.64892395,23.98699573,0.354,-67,6,97,0,0,5,1,19.71423994,11.15
12.03866579,15.60665175,0.11,-77,1,98,30.84,6.75,5,1,19.6342214,11.15
12.04045049,12.75158896,0.15,-72,5,98,15.09,0,5,1,19.6342214,11.15
22.579308,23.36186185,0.815,-79,6,98,0,0,5,1,19.6342214,11.15
12.05356371,16.34876556,2.13,-74,1,99,30.84,6.75,5,1,19.61821769,11.15
5.059433328,6.806384944,0.066,-68,2,99,16.495,16.15,5,1,19.61821769,11.15
12.03441961,12.18515183,0.183,-74,5,99,15.09,0,5,1,19.61821769,11.15
12.08336804,13.77034197,1.072,-74,1,100,30.84,6.75,5,1,19.58621028,11.15
